0
0
(3, 3)
(3, 4)
(7, 1)
(5, 7)
(5, 4)
(6, 2)
(4, 4)
(0, 2)
(2, 5)
(0, 5)
(6, 6)
(1, 9)
(0, 4)
(4, 6)
(6, 1)
(7, 3)
(2, 3)
(8, 8)
(8, 4)
(5, 6)
(5, 2)
(3, 0)
(3, 6)
(7, 2)
(8, 7)
(1, 4)
(6, 4)
(4, 9)
(2, 9)
(9, 4)
(3, 7)
(5, 8)
(6, 3)
(7, 9)
(9, 7)
(9, 8)
(7, 4)
(0, 3)
(7, 6)
(1, 5)
(0, 6)
(2, 4)
(9, 0)
(0, 9)
(9, 5)
(3, 9)
(6, 0)
(0, 0)
(2, 8)
(8, 5)
(0, 8)
(1, 0)
(2, 7)
(8, 0)
(4, 2)
(6, 8)
(1, 3)
(8, 3)
(4, 8)
(4, 1)
(1, 7)
(7, 8)
(4, 3)
(8, 2)
(5, 3)
(3, 2)
(3, 8)
(8, 6)
(4, 5)
(6, 9)
(6, 5)
(8, 9)
(4, 7)
(0, 7)
(1, 8)
(5, 5)
(5, 9)
(5, 1)
(9, 1)
(0, 1)
(2, 1)
(9, 3)
(5, 0)
(9, 9)
(7, 0)
(9, 2)
(2, 2)
(2, 0)
(3, 5)
(1, 6)
(7, 7)
(8, 1)
(1, 1)
(4, 0)
(1, 2)
(6, 7)
(3, 1)
(2, 6)
(9, 6)
(7, 5)
